項次,裁處書日期,違規情節,罰鍰金額數,罰則註記
33,112/10/13,"緣受處分人係「OOOO診所(機構代碼：3501154377)」負責醫師，案係該診所於（一）Facebook帳號「OOOO診所」(網址：https://www.facebook.com/OOOOtw/?locale=zh_TW；本局下載日期：112年7月20日) 刊載內容略以：「... OOOO""六週年""快樂11/1~11/30永恆美診所將舉辦~歡慶雙重奏活動~快與小編一同來歡慶永恆美六週年生日快樂!!活動內容可詳洽診所或私訊小編歐02-28313107 台北市OOOO路一段58號…」；（二）該診所網站（網址：https://wwwOOOOic.com.tw/bulletin_info.php?cid=9&id=141；本局下載日期：112年7月20日)刊載內容略以：「…六週年慶~歡慶雙重奏活動~活動期間：2022/11/01~2022/11/30...…」，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。","60,000",醫療法第86條
34,112/10/13,"緣受處分人係「OOOO診所(機構代碼：3501154377)」負責醫師，案係民眾反映至該診所治療疑義，本局112年7月31日至該診所現場查察，民眾李O能紀錄表載有「日期：2023/5/4 內容項目：彩衝光or飛梭，10+2 金額：40000」，且療程使用/修護記錄表載有「5/4 彩衝光+術後保濕導入 12-1、6/20 同上 12-2、7/18 飛梭(11050何O瑄用) 12-3、112/7/27 彩衝光+術後保濕導入 12-4...」，112年5月4日收據載有金額40,000元。受處分人負責診所以一次性收取醫療費用預約治療方式，向民眾先收取醫療費用之情事，核已違反醫療法第22條第2項規定。","50,000",醫療法第22條第2項
35,112/10/12,緣受處分人係「OOOO診所（機構代碼：350102G967）」負責醫師，案係該診所於Line 帳號「OOOO診所(LINE ID：@pfl4744a )」與民眾互動內容載有「今天詢問確認預約時間會另外再贈送燃脂療程(加強脂肪破壞+提升代謝 價值4000)」，顯以贈送療程之不正當方式招攬醫療業務，核已違反醫療法第61條第1項規定。,"50,000",醫療法第61條第1項
36,112/10/11,緣受處分人係「OO診所（機構代碼：350102H295）」負責醫師，案係該診所於Facebook帳號「OO診所」（網址：https://www.facebook.com/OOOOosts/pfbid02JyQnQKR27GafUyrp5KkowYp1wXD9Uu2CdgR2CRqk7OOOO1wUE1tLT1xJqUhX6l、https://www.facebook.com/mumakeclinic/posts/pfbid02Ukkt5BGCzL4nv9DVZqDn3K7NkKEvoTitc4NjosyRF8gxaVOOOOLNn3WayBex4l；本局下載日期：112年9月15日）刊登內容略以：「...限時優惠#全臉逆齡方案 海芙音波+肉毒+玻尿酸3 in 1，寵粉價只要X8000...沐美的芭比法令...留言『+1』，取得限時專案資訊!...化身芭比 法令隱形...+1 限時專案」，以暗示贈送、優惠等具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
37,112/10/06,"受處分人係「OOOO牙醫診所」（機構代碼：3701013759），案係民眾反映於110年12月10日至該牙醫診所接受醫療服務，並繳付醫療費用20萬3,000元，診所未開立收據，經本局稽查人員112年7月28日至該診所現場查察，查有病人陳O仁110年12月10日自費診療計畫書載有治療項目名稱牙套及雷射牙周治療，總計金額20萬3000，收費紀錄載有收費日期110年12月10日及同年12月17日分別收取10萬元及10萬3,000元，惟提供本局查核收據付款性質僅載牙科治療及假牙?復，診所收取醫療費用未按次當日開給載明實際所提供醫療收費項目明細及其金額之收據，核已違反醫療法第22條第1項之規定。",0,醫療法第22條第1項
38,112/10/06,"緣受處分人係「OO牙醫診所(機構代碼：3701105216)」負責醫師，案係衛生福利部112年5月29日抽查受處分人負責診所之病歷資料，查病人張0萍初診病歷(112年3月30日)及王0明初診病歷(112年5月8日)國際醫療方案紀錄表之日期、診斷處置及醫師簽章欄位皆空白未填寫。本局稽查人員於112年6月8日配合衛生福利部至受處分人診所查察，上開病人病歷載有112年3月30日及112年5月8日、5月29日補寫病歷紀錄內容，惟醫師簽章處未加註病歷完成時註明年、月、日。受處分人未督導其所屬醫事人員執行業務時，依規定製作病歷紀錄並簽名或蓋章等，核已違反醫療法第68條之規定。
","10,000",醫療法第68條第1項
39,112/10/06,"緣受處分人係「OOOO診所(機構代碼：3701105216)」負責醫師，案係本局於112年6月8日配合衛生福利部至受處分人負責之診所查察，查有診所大門內掛號櫃檯明顯處及治療室牆面上貼有「評論五星 精美好禮任選3樣 Google搜尋 【OOOO】 五星好評 拿好禮」海報；受處分人診所以優惠、贈送物品暨具有意圖促銷之醫療廣告內容為宣傳，核已違反醫療法第86條規定。

","50,000",醫療法第86條
40,112/09/27,"受處分人係「OOOO醫美診所」（機構代碼：350102E310，負責醫師：蕭O昌），案係民眾徐OO反映至時尚假期醫美診所就醫疑義，並檢附診所開立銷售日期為111年3月23日之單據，記載內容略以：「...矽晶修護-第一堂...矽晶修護-第二堂...矽晶修護-第三堂...二選一年卡(腋除、比除)＄72,000...合計數量：70 應收金額：216,000」云云。本局稽查人員112年8月29日至該診所查核，診所人員表示上開單據為課程明細，診所於病人分次治療結束後再分批開立正式之醫療收據予病人，核已違反醫療法第22條第1項之規定。",0,醫療法第22條第1項
41,112/09/27,"受處分人係「OOOO醫美診所」負責醫師，案係民眾徐OO反映該診所收費疑義，並檢附診所開立銷售日期為111年3月23日之單據，記載內容略以：「...矽晶修護-第一堂...矽晶修護-第二堂...矽晶修護-第三堂...二選一年卡(腋除、比除)＄72,000...合計數量：70 應收金額：216,000 折扣金額：111,001 實付金額：104,999...比基尼除毛年卡可任選腋下打滿24次...」云云。本局稽查人員112年8月29日至該診所查核，診所人員表示上開單據為課程明細，病人於詳閱該診所課程明細後刷卡全額付款，病人分次至診所接受醫療服務。受處分人負責診所以預約治療方式，向民眾先收取醫療費用之情事，核已違反醫療法第22條第2項規定。","50,000",醫療法第22條第2項
42,112/09/27,緣受處分人於Instagram（帳號名稱OOOO）刊登限時動態內容略以：「...這種魔法要拿去宣傳，拜託，就打了我們家音波+肉毒過了三個月效果就這麼好...還不來做小臉魔法，@OOOOic 去了報我的名字有驚喜...。」，經點閱「@OOOOc」連接至「南京小岩井診所」網頁資訊，受處分人非醫療機構，意圖為醫療機構招徠醫療之廣告內容，已違反醫療法第84條規定。,"50,000",醫療法第84條
