項次,日期,違規情節,罰鍰金額數,罰則註記
,113/07/17,受處分人係香港商世界健身事業有限公司西門分公司（下稱香港商世界健身公司，市招：World Gym健身俱樂部西門店；臺北市萬華區西寧南路36號B1）浴池 之負責人，實際經營浴室業。經本局於113年6月17日抽驗女浴池水，抽驗單號20240525047-1及20240525047-2水中大腸桿菌群皆大於200 CFU/100mL，與本局 公告大腸桿菌群應低於（含）6 CFU或6 MPN不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/07/17,受處分人係香港商世界健身事業有限公司西門分公司（下稱香港商世界健身公司，市招：World Gym健身俱樂部西門店；臺北市萬華區西寧南路36號B1）浴池 之負責人，實際經營浴室業。經本局於113年6月17日抽驗女浴池水之自由有效餘氯量，檢測結果為0.41 ppm，與本局公告自由有效餘氯應保持百萬分之1.0至3.0 間不符，惟經本局於113年6月25日複驗，檢測結果為小於0.2 ppm，仍不符前開公告標準。,"4,000",臺北巿營業衛生管理自治條例第15條第1項第4款
,113/07/19,受處分人係璞樂米窩（臺北市信義區松山路153號2樓）負責人，實際經營旅館業。本局112年5月3日稽查營業衛生，查無指派衛生管理人員、無衛生自主管理 紀錄、從業人員未完成定期健康檢查、無中央空調冷卻水塔清洗紀錄，且未備有保險套及水性潤滑劑，初查共5項不合格，並應於112年5月31日前完成改善。 本局於112年7月14日複查時，從業人員仍未全數完成定期健康檢查。,"3,000",臺北巿營業衛生管理自治條例第8條第1項第1款
,113/07/19,受處分人係日日吉旅店股份有限公司（臺北市大同區昌吉街1號）負責人，實際經營旅館業。本局112年11月14日營業衛生稽查初查結果，無衛生管理人員及衛 生自主管理執行情形未見紀錄、從業人員未定期健康檢查，且未備有急救箱，共4項不符規定，應於112年11月21日前完成改善。本局於112年12月8日複查時， 衛生管理人員尚未取得訓練結業證書，且從業人員仍未完成健康檢查。,"6,000",1.臺北巿營業衛生管理自治條例第4條第2項 2.臺北巿營業衛生管理自治條例第8條第1項第1款
,113/07/29,受處分人係格勒瑞個人美髮工作室（臺北市大安區和平東路二段265巷28號）負責人，實際經營美髮業。本局112年9月14日稽查營業衛生，從業人員未完成定 期健康檢查，初查共1項不合格並應於112年10月14日前完成改善。本局於113年2月23日複查時，從業人員仍未全數完成定期健康檢查，且另查衛生管理人員未 取得證書。,"3,000",臺北巿營業衛生管理自治條例第8條第1項第1款
,113/07/29,受處分人係臺北市松山國民小學（臺北市松山區八德路4段746號）委託經營之廠商「駿斯運動事業股份有限公司松山國小分公司」負責人，實際經營浴室業。 經本局於113年6月11日抽驗室內浴池水之自由有效餘氯量，檢測結果為0.08 ppm，與本局公告自由有效餘氯應保持百萬分之1.0至3.0間不符。嗣經本局通知該公 司於113年6月25日前完成改善，惟經本局於113年6月28日複驗，檢測結果為0.16 ppm，仍不符前開公告標準。,"4,000",臺北巿營業衛生管理自治條例第15條第1項第4款
,113/08/07,受處分人係大同運動中心（臺北市大同區大龍街51號）委託經營之廠商「舞動陽光有限公司大同分公司」負責人，實際經營浴室業。經本局於113年6月19日抽驗spa浴池水之自由有效餘氯量，檢測結果為0.59 ppm，與本局公告自由有效餘氯應保持百萬分之1.0至3.0間不符。嗣經本局通知該公司於113年6月21日前完成改善，惟經本局於113年7月18日複驗，檢測結果為4.04 ppm、3.93 ppm，仍不符前開公告標準。,4000,臺北巿營業衛生管理自治條例第15條第1項第4款
,113/08/22,受處分人係慧?國際有限公司（市招：北投慧?溫泉會館；臺北市北投區溫泉路銀光巷22號）溫泉浴池之負責人，實際經營浴室(溫泉)業，經本局於113年4月11日至貴公司進行營業衛生稽查，檢查結果發現無水質遭汙染之緊急應變措施相關資料，本局限期於4月18日前完成改善；本局於5月27日至貴公司進行複查，複查結果仍未能提供水質遭汙染之緊急應變措施相關資料，違反臺北市營業衛生管理自治條例第17條第1項第4款之規定。,4000,臺北巿營業衛生管理自治條例第17條第1項第4款
,113/08/29,受處分人係運博國際股份有限公司前港營業所（市招：前港公園游泳池；臺北市士林區前港街45號）泳池之負責人，實際經營泳池業。經本局於113年7月1日抽驗室外泳池水之自由有效餘氯量，檢測結果為0.17ppm，與本局公告自由有效餘氯應保持百萬分之1.0至3.0間不符，惟經本局於113年7月15日複驗，檢測結果為0.97ppm，仍不符前開公告標準。,4000,臺北巿營業衛生管理自治條例第15條第1項第4款 
,113/09/13,受處分人係亞太三溫暖（地址：臺北市松山區南京東路3段337號14樓之1）之負責人，實際經營浴室業，經本局於113年8月26日抽驗該商號男浴池水，抽驗單編號20240826007-1水中大腸桿菌群126 CFU/100mL及20240826007-2 水中大腸桿菌群140 CFU/100mL，與本局公告大腸桿菌群應低於（含）6 CFU/100mL或6 MPN/100mL不符。,2000,臺北巿營業衛生管理自治條例第15條第1項第2款
,113/09/16,"受處分人係香港商世界健身事業有限公司光復分公司（地址:臺北市大安區忠孝東路4段330號B1）之負責人，實際經營浴室業，經本局於113年1月4日抽驗女浴池水，檢驗結果不符規定，同年2月20日複驗亦不合格，本局於113年2月1日及113年3月18日分別以北市衛疾字第1133004207號裁處書及北市衛疾字第1133004430號裁處書，處罰鍰新臺幣2,000元及5,000元在案。經本局續於同年4月30日再次抽驗女浴池水，水中大腸桿菌群皆分別為134 CFU/100mL和148 CFU/100mL，及同年5月6日抽驗女浴池水複驗，水中大腸桿菌群皆大於200 CFU/100mL，與本局公告大腸桿菌群應低於（含）6 CFU或6 MPN不符，以北市衛疾字第1133004860號裁處書，處罰鍰新臺幣8,000元在案。經本局續於同年7月15日再次抽驗女浴池水，水中大腸桿菌群皆分別為27 CFU/100mL和33 CFU/100mL，與本局公告大腸桿菌群應低於（含）6 CFU/100mL或6 MPN/100mL不符。",10000,"1.	臺北巿營業衛生管理自治條例第15條第1項第2款
2.	臺北市營業衛生管理自治條例事件統一裁罰基準第3點第13項"
,113/09/16,受處分人係神氣小虎有限公司（地址：臺北市士林區士東路274號B1）之負責人，實際經營游泳業，經本局於113年8月15日抽驗該商號泳池水，抽驗單號20240814016-1水中大腸桿菌群590 CFU/100mL，與本局公告大腸桿菌群應低於（含）6 CFU/100mL或6 MPN/100mL不符。,2000,臺北巿營業衛生管理自治條例第15條第1項第2款
,113/09/19,受處分人係優伯行銷顧問有限公司新生公園分公司（市招：新生公園游泳池；地址:臺北市士林區新生北路3段105號1樓）泳池之負責人，實際經營泳池業。經本局於113年8月23日抽驗該商號泳池水之自由有效餘氯量，檢測結果為4.06ppm，與本局112年11月1日北市衛疾字第1123046623號公告自由有效餘氯應保持百萬分之1.0至3.0間不符，惟經本局於113年9月4日複驗，檢測結果為4.11ppm，仍不符前開公告標準。,4000,臺北巿營業衛生管理自治條例第15條第1項第4款
,113/09/26,受處分人係香港商世界健身事業有限公司-台北松隆分公司（下稱香港商世界健身公司，市招：World Gym健身俱樂部松隆店；臺北市信義區松隆路125號2樓）浴池之負責人，實際經營浴室業經本局於113年8月21日抽驗女浴池水，抽驗單號20240820005-1水中總菌落數為800CFU/mL和水中大腸桿菌大於200CFU/100mL，及20240820005-2之水中大腸桿菌群大於200CFU/100mL，與本局公告大腸桿菌群應低於（含）6 CFUCFU/100mL或6MPNCFU/100mL不符；總菌落數應低於500 CFU/mL不符。,2000,臺北巿營業衛生管理自治條例第15條第1項第2款
,113/10/07,受處分人係玉泉公園（臺北市大同區西寧北路28號）泳浴池委託經營之廠商「星哲企業股份有限公司圓山分公司」負責人，實際經營游泳業及浴室業。本局113年8月20日營業衛生初查結果，無病媒防治紀錄、未備有水質遭汙染之緊急應變措施、從業人員未體檢、未有衛生管理人員、未有衛生自主管理查核表及未有衛生標示等多項缺失，且抽驗SPA浴池水之自由有效餘氯量檢測結果為0.0ppm，應於113年8月27日前完成改善。本局於113年9月3日複查時，仍無病媒防治紀錄、未備有水質遭汙染之緊急應變措施，且自由有效餘氯量檢測結果為0.56ppm。,12000,"1.	臺北巿營業衛生管理自治條例第6條第1項
2.	臺北巿營業衛生管理自治條例第17條第4款
3.	臺北巿營業衛生管理自治條例第15條第1項第4款"
,113/10/08,受處分人係臺北市大同運動中心spa浴池（臺北市大同區大龍街51號）委託經營之廠商「舞動陽光有限公司大同分公司」之負責人，實際經營浴室業，經本局於113年9月11日抽驗spa浴池水，抽驗單編號20240910008-3和20240910008-4之水中總菌落數皆大於1000 CFU/mL，與本局公告總菌落數應低於500 CFU/mL規定不符。,2000,臺北巿營業衛生管理自治條例第15條第1項第2款
,113/10/29,受處分人係京庚健康世界股份有限公司民生分公司（臺北市松山區民生東路3段156號B1）之負責人，實際經營游泳業，經本局於113年10月9日抽驗泳池水，抽驗單編號20241009005-2之水中大腸桿菌群分別為13 CFU/100mL，與規定不符。,2000,臺北巿營業衛生管理自治條例第15條第1項第2款
