項次編號,分類,行政區代碼,分隊名稱,巷道名稱,寬度,備註
165,紅區,63000070,雙園分隊,萬大路277巷48號前,3.6,
166,紅區,63000070,雙園分隊,東園街73巷76弄,3.3,
167,紅區,63000070,雙園分隊,東園街160巷,3.8,
168,紅區,63000070,龍山分隊,內江街126巷,3,
169,紅區,63000070,龍山分隊,昆明街201巷,3,
170,紅區,63000070,龍山分隊,康定路278巷(從西昌街進入至9、10號),4,
171,紅區,63000070,龍山分隊,漢口街2段109巷7-17及4-16號,3,
172,紅區,63000070,龍山分隊,中華路1段76巷,3.3,
173,紅區,63000080,萬芳分隊,萬芳路26巷,2.6,
174,紅區,63000080,萬芳分隊,木柵路4段33巷,3.6,
175,紅區,63000080,萬芳分隊,興隆路3段206巷,3,
176,紅區,63000080,景美分隊,育英街57巷,4,
177,紅區,63000080,景美分隊,羅斯福路5段92巷1弄,3.7,
178,紅區,63000080,景美分隊,羅斯福路6段232巷7~18號,3.6,
179,紅區,63000080,景美分隊,車前路29巷,3.7,
180,紅區,63000080,木柵分隊,集英街,3.5,
181,紅區,63000080,木柵分隊,木柵路3段85巷4、6號及木柵路3段81、83號,3,
182,紅區,63000080,木柵分隊,指南路1段96巷,3.2,
183,紅區,63000080,木柵分隊,秀明路2段112巷1弄,3.7,
184,紅區,63000030,金華分隊,信義路2段10巷,3.9,
185,紅區,63000030,金華分隊,羅斯福路3段17巷1弄,3.3,
186,紅區,63000030,金華分隊,新生南路3段14巷,3.7,
187,紅區,63000030,金華分隊,潮州街73巷,4,
188,紅區,63000030,金華分隊,和平東路1段11巷,4,
189,紅區,63000030,安和分隊,和平東路3段72巷,3.7,
190,紅區,63000040,松江分隊,南京西路12巷13弄,3.5,
191,紅區,63000040,松江分隊,市民大道2段5巷,3,
192,紅區,63000100,內湖分隊,民權東路6段280巷45弄,3.7,
193,紅區,63000060,延平分隊,承德路1段77巷,3.8,
194,紅區,63000050,古亭分隊,廈門街34巷,3.4,
195,紅區,63000050,泉州分隊,大埔街21巷,3.4,
196,紅區,63000080,寶橋分隊,辛亥路7段20巷,2.6,
197,紅區,63000050,泉州分隊,中華路2段441巷,3.7,
198,紅區,63000110,劍潭分隊,中正路223巷,3.6,
