序號,行政區,登山步道路線,總長M,單程步行時間min,步道分級,起點,起點經度座標,起點緯度座標,起點是否為階梯,迄點,迄點經度座標,迄點緯度座標,迄點是否為階梯,步道口是否有路擋,是否適合輪椅通行,輪椅可通行段平均坡度,輪椅可通行段長度M,行動電話通訊情形,是否有流動廁所,流動廁所位置,是否為無障礙廁所
90,信義區,虎山自然步道,1100,30,親子級,慈惠堂,121.5792,25.0382,是,南港山稜線叉路口,121.5768,25.0244,是,否,否,無,0,可,否,無,無
91,信義區,虎山生態步道,480,15,親子級,虎山400m涼亭,121.5818,25.0353,是,王家土雞城叉路口,121.58,25.0334,是,否,否,無,0,可,否,無,無
92,信義區,虎山復興園步道,580,20,親子級,復興園,121.5786,25.0328,是,瑤池宮,121.5755,25.0311,是,否,否,無,0,可,是,迄點,否
93,信義區,美的世界社區步道,500,15,親子級,瑤池宮,121.5755,25.0311,是,松山路673號美的世界社區,121.5741,25.0337,是,否,否,無,0,可,是,起點,否
94,信義區,虎山120高地步道,238,10,親子級,福德街221巷,121.5766,25.0355,是,虎山120高地,121.5745,25.0351,是,否,否,無,0,可,否,無,無
95,信義區,虎山峰下方步道,157,10,親子級,福德街221巷,121.5765,25.0337,是,虎山峰下涼亭,121.5752,25.0336,是,否,否,無,0,可,否,無,無
96,信義區,虎山峰前方步道,220,10,親子級,福德街221巷,121.5764,25.0325,是,虎山峰前涼亭,121.5757,25.0325,是,否,否,無,0,可,否,無,無
97,信義區,虎山奉天宮步道,890,30,親子級,奉天宮,121.5762,25.039,是,松山路679-1號,121.5757,25.032,是,否,否,無,0,可,否,無,無
98,信義區,虎山吉福宮步道,509,20,親子級,福德街51巷,121.5733,25.0382,是,虎山120高地,121.5745,25.0351,是,否,否,無,0,可,否,無,無
99,信義區,吉福宮叉路步道,322,10,親子級,吉福宮上方右叉路,121.5741,25.0367,是,涼亭右轉下福德街51巷,121.5729,25.035,是,否,否,無,0,可,否,無,無
100,信義區,象山北星寶宮步道,824,30,親子級,靈雲宮,121.5625,25.0292,是,北星寶宮叉路,121.5695,25.0275,是,否,否,無,0,可,否,無,無
101,信義區,天寶聖道宮步道,408,15,親子級,北星寶宮,121.5699,25.0277,是,天寶聖道宮,121.5712,25.0301,是,否,否,無,0,可,是,起點,否
102,信義區,拇指山步道,1355,45,親子級,拇指山登山口,121.5768,25.0244,是,北星寶宮,121.5699,25.0277,是,否,否,無,0,可,否,無,無
103,信義區,北台慈惠堂步道,150,10,親子級,北台慈惠堂,121.5727,25.0249,是,南港山親山步道三叉路,121.574,25.0252,是,否,否,無,0,可,是,起點,否
104,信義區,永春崗顏子廟步道,220,10,親子級,永春崗公園,121.5689,25.0338,是,顏子廟,121.5679,25.0342,是,否,否,無,0,可,否,無,無
105,信義區,象山永春崗步道,850,30,親子級,松山路650巷超市旁,121.5707,25.0337,是,象山頂前南港山叉路口(含入口意象範圍),121.5676,25.0285,是,否,否,無,0,可,否,無,無
106,信義區,象山一線天步道,822,30,親子級,象山990m巨石叉路,121.5688,25.0309,是,75m叉路口,121.5632,25.0294,是,否,否,無,0,可,否,無,無
107,信義區,市立療養院步道,233,20,親子級,療養院,121.567,25.0299,是,稜線(象山親山460m)(含入口意象範圍),121.5665,25.0286,是,否,否,無,0,可,否,無,無
108,信義區,象山自然步道,400,15,親子級,市療羽球場,121.5669,25.0297,是,象山煙火平台,121.5644,25.0307,是,否,否,無,0,可,否,無,無
109,信義區,石泉巖步道,289,15,親子級,石泉巖,121.5561,25.0166,是,中正巖,121.5569,25.0187,是,否,否,無,0,可,否,無,無
110,信義區,糶米古道,446,20,親子級,吳興街600巷,121.5647,25.0183,是,極樂公墓,121.5659,25.0151,是,否,否,無,0,可,是,起點,否
111,信義區,豹山溪步道,550,20,親子級,豹山拆遷整治區前,121.5802,25.0319,否,靈隱寺,121.5818,25.0256,是,是,否,無,0,可,否,無,無
112,南港區,南港山(一)中華技術學院,1970,70,親子級,中華技術學院,121.6016,25.0348,是,分界點,121.5861,25.0346,是,否,否,無,0,可,否,無,無
113,南港區,南港山(二)北興宮,685,25,親子級,南港山鞍部,121.5861,25.0346,否,北興宮(含入口意象範圍),121.591,25.037,否,否,否,無,0,可,是,迄點,否
114,南港區,南港山(三)麗山橋口,1175,40,親子級,研究院路四段50巷,121.5913,25.0269,否,南港山鞍部(含入口意象範圍),121.5861,25.0346,是,否,否,無,0,可,是,起點,否
115,南港區,九五峰,2165,70,親子級,南港山鞍部,121.5861,25.0346,是,姆指山山頂陵線,121.5763,25.0231,是,否,否,無,0,可,否,無,無
116,南港區,更寮步道,2450,75,親子級,舊莊街二段122巷,121.6302,25.0349,否,大豐產業道路,121.6392,25.0277,是,否,否,無,0,可,是,迄點,否
117,南港區,栳寮步道,440,20,親子級,舊莊街二段232巷,121.636,25.0341,是,魏靜時故居(含入口意象範圍),121.638,25.0295,是,否,否,無,0,可,否,無,無
118,南港區,桂花林步道┼2條支線,495,20,親子級,舊莊街二段添進茶園,121.6608,25.0264,是,南港茶葉製造示範廠第2停車場,121.6634,25.0281,是,否,否,無,0,可,是,迄點,否
119,南港區,桂花吊橋步道┼支線,305,10,親子級,舊莊街二段寶豐庭茶莊,121.6613,25.0259,是,舊莊路2段328號,121.6626,25.0255,否,否,否,無,0,可,否,無,無
120,南港區,桂花吊橋親水步道,170,10,親子級,舊莊街二段寶樹橋旁,121.6617,25.0256,是,桂花吊橋,121.6604,25.0255,是,否,否,無,0,可,否,無,無
121,南港區,桂花亭步道,200,10,親子級,桂花亭入口意象,121.6618,25.0239,是,舊莊街二段步道口(含入口意象範圍),121.6623,25.0249,是,否,否,無,0,可,是,迄點,否
122,南港區,明聖步道,76,5,親子級,無極明聖宮旁,121.6093,25.0507,是,國家生技園區範圍前,121.6085,25.0507,是,否,否,無,0,可,否,無,無
123,南港區,余氏古厝步道,328,15,親子級,余氏古厝後方,121.6511,25.0265,是,桂花亭步道,121.6593,25.0245,是,否,否,無,0,可,否,無,無
124,南港區,妙高台步道,1000,45,親子級,拇指山馬蹄形平台,121.6616,25.024,是,紫雲街75號,121.5685,25.0174,是,否,否,無,0,可,否,無,無
125,文山區,土地公嶺步道,500,20,親子級,崇德街,121.5593,25.0114,是,安祿宮,121.5582,25.0101,是,否,否,無,0,可,否,無,無
126,文山區,試院支線步道,452,40,親子級,考試院上方涼亭,121.5445,24.9883,是,仙跡岩足跡步道叉路(含木柵路1段23號旁入口路段),121.5449,24.9909,是,否,否,無,0,可,否,無,無
127,文山區,景興國小支線步道,368,40,親子級,親山步道915m景興國小叉路口,121.5505,24.9937,是,景興國小,121.5492,24.9954,是,否,否,無,0,可,否,無,無
128,文山區,溝子口支線步道,868,50,親子級,(往光輝路口)樓梯盡頭,121.5548,24.991,是,主稜線及景興國小支線轉角,121.5505,24.9937,是,否,否,無,0,可,否,無,無
129,文山區,麥田支線步道,413,40,親子級,麥田山莊,121.5511,24.9968,是,仙跡岩稜線(含福德宮304巷支線),121.5515,24.994,是,否,否,無,0,可,否,無,無
130,文山區,海巡署支線,600,60,親子級,興隆路三段304巷25號勞保局倉庫前,121.5583,24.9939,是,溝子口步道上方指向牌,121.5534,24.9928,是,否,否,無,0,可,否,無,無
131,文山區,指南宮步道,900,50,親子級,指南宮33巷牌樓步道口,121.5804,24.9846,是,指南慈惠堂前方指向牌,121.5864,24.9798,是,否,否,無,0,可,否,無,無
132,文山區,指南慈惠堂步道,750,25,親子級,指南路三段,121.5835,24.9776,是,指南慈惠堂再接商店街至獅子亭前方涼亭,121.5853,24.98,是,否,否,無,0,可,否,無,無
133,文山區,大成殿步道,605,35,親子級,指南路三段步道口,121.5903,24.9756,是,指南路三段157巷步道口,121.5922,24.9767,是,否,否,無,0,可,否,無,無
134,文山區,猴山岳步道,602,30,親子級,指南宮後山猴山岳步道口,121.5909,24.979,否,猴山岳土雞城(萬壽路71號),121.5952,24.9775,是,否,是,3%-7%,80,可,是,迄點,否
135,文山區,茶推廣中心步道,760,45,親子級,茶推廣中心停車場,121.5956,24.9687,是,指南路三段,121.5943,24.9736,是,否,否,無,0,可,是,起點,是
